vatnLnr,name,regine,vassom,elev_m,area_km2,catch_area_km2,vol_est_avail,vol_Mm3,res_time_yr,width_km,aspect_ratio,slp_mean
9138,Auståre Kjosevatn,021.BAB,021,612.0,0.5741,13.84,0,4.758230096313956,,0.11558439905531204,42.969261238964776,11.983953121556095
14939,Hovdevatnet,021.EA1Z,021,763.0,0.1229,8.49,0,0.4077014689733065,,0.1103184064365389,10.09654145477514,6.705535861784141
15297,Hovotni,021.DC,021,769.0,0.0975,2.06,0,0.22930229381791692,,0.0617758866023328,25.542234169731955,6.181493506493506
15199,Langevatn,021.E1B,021,791.0,0.4185,4.85,0,6.359288617812408,,0.22102465626003476,8.56617392980796,18.71459087383661
13254,Hemletjønnane,021.M1A,021,1106.0,0.0701,13.33,0,0.22117850028764413,,0.10037202477248647,6.95687289408113,7.476454922735618
14270,Dyrestigtjønni,021.GC,021,1041.0,0.049,3.22,0,0.20177647893983816,,0.0450965128647598,24.1061817570071,14.419196948670505
14120,Reinsgrovtjørnane,021.GD0,021,1120.0,0.1763,2.51,0,1.0569130924495482,,0.06682366541181595,39.48652006476556,13.748276102436513
13918,Reinevasstjønni,021.GB11B31B,021,1187.0,0.2789,1.16,0,1.5594447508651414,,0.09197690456865626,32.9729558477892,10.240961938917168
13190,,021.JAC,021,1108.0,0.0316,0.38,0,0.04836082877490319,,0.04441875294946179,16.019157446494543,5.786887019230769
1093,Urdevatnet,021.HEB,021,1077.0,1.53,9.14,0,28.204464912102203,,0.34809714567592565,12.626813733650922,14.409397306777159
1082,Gyvatn,021.BAB,021,564.0,4.494,48.89,0,71.90358098067135,,0.16927886520140234,156.83092384565663,12.908509482000271
1091,Store Urevatn,021.HBB,021,1175.0,13.2866,53.99,0,430.78153955330833,,0.29285538149829193,154.92005445529475,17.01857256067933
1071,Ormsavatnet,021.HD,021,868.0,3.1953,99.02,0,77.63747369268931,,0.4008421917258942,19.88705856549029,15.403231494543025
1096,Reinevatn,021.GB11B31B,021,1175.0,3.5739,15.65,0,51.755384609669385,,0.1793932999474368,111.0521848817187,11.991920152091256
1073,Breivevatnet,021.JA0,021,759.0,1.0509,108.81,0,14.042153016212483,,0.22182229482181048,21.356851559958354,13.357329638193688
1064,Åraksfjorden,021.D7,021,203.0,11.4524,2459.7,1,426.0,0.12950203,0.4782766417706181,50.06534095489627,19.438078320700292
52936,,302.6B,302,,0.0256,3.46,0,0.0562790583541631,,0.06219180516373693,6.60632782576753,7.734108323317308
52329,,206.A2,206,883.0,0.1557,1.36,0,0.82048562605708,,0.19874361119824968,3.941329763547521,8.180871212121213
1729,Goddejávri,206.E,206,897.0,1.6743,43.22,0,8.336010906830323,,0.2592614260284192,24.909016306441032,4.122574420302468
9055,Molandsvann,018.221Z,018,121.0,0.6595,6.97,0,7.250294919808039,,0.09223200367302153,77.52615243505521,16.920955959693707
9588,Midtvann,018.D,018,210.0,0.3003,9.44,0,1.3228723946252254,,0.12265502968038788,19.961311619127002,7.070157663722533
9304,Rømmelvann,018.3Z,018,176.0,0.0554,1.09,0,0.1720738643923124,,0.06164847654927502,14.584037983120455,9.329145264092082
9864,,018.D,018,,0.096,0.81,0,0.5470563920309629,,0.08044934073358512,14.8404553487656,13.915882588845015
9453,Stavvann,018.BZ,018,164.0,0.0542,0.98,0,0.13871017944213684,,0.07260500352292876,10.284165799155298,7.221393991023936
9096,Simonstadvannet,018.3Z,018,155.0,0.1227,8.03,0,0.38320884547679973,,0.1140115879448721,9.442383234845012,6.227427118684012
9183,Ljøsvannet,018.E,018,178.0,0.1447,0.48,0,0.885317095326171,,0.11551765149182047,10.8465125296778,11.9121368065309
9042,Breidungen,018.21,018,4.0,2.395,18.52,0,53.72312842328905,,0.17232572140726354,80.6497367638722,20.847789569774953
10026,Stokkebovannet,018.620,018,41.0,0.1976,1.47,0,1.2718328023209584,,0.10777117721440332,17.016529257202823,12.024375293387875
8970,Øvre Skålvatn,018.F,018,206.0,0.1541,7.36,0,1.321101746661214,,0.15692261380693545,6.25876309623643,14.781422461368653
1260,Leivann,018.1B,018,9.0,1.309,47.94,0,19.340600940473667,,0.10560050108854302,117.38488283401624,18.702929428464856
9198,Ljøstadvann,018.E,018,178.0,0.5189,10.85,0,2.0068481534671343,,0.07727874522170586,86.8833163740653,6.532010893738522
3866,Rotnesjøen,312.AH,312,260.0,1.0847,87.47,0,8.964057291851372,,0.16399918855575413,40.329756790523575,9.085845244095623
3921,Langtjennet,312.AG,312,,0.0446,1.76,0,0.014941619952973653,,0.08299491665862901,6.468120882208597,0.8890809519830659
3794,Kottern,312.CH,312,480.0,0.1384,2.18,0,0.18407171878814524,,0.1207284853006384,9.49505447117691,2.4704033203125
3834,Kalbråtåsjøen,312.AH,312,,0.0639,19.74,0,0.4191185953359586,,0.09412450620598595,7.21733481880276,16.57450996143959
413,Halldalsvatnet,015.MAB,015,844.0,2.2126,59.38,0,22.18633264922582,,0.42088066665561596,12.490474672833018,6.613481253950695
17451,Frygnevatnet,015.JAB,015,886.0,0.3202,18.21,0,1.6349768078360223,,0.23385568873290263,5.8541979580203725,6.3466459771640995
6417,Holmevannet,015.4K2B,015,513.0,0.1791,4.65,0,1.2260133828331954,,0.16877705010865351,6.2876781510078485,11.038914350033663
5834,Rosovannet,015.C31,015,,0.0368,5.47,0,0.20661405808800073,,0.07035906363285435,7.43700931215632,17.833404207125273
6384,Tverrvannet,015.4K22,015,529.0,0.1334,0.72,0,0.7831435193771746,,0.13274286199540558,7.572109869041159,11.02672867063492
17694,,015.JC1Z,015,1244.0,0.0913,1.56,0,0.1440340791495276,,0.07273095846685884,17.260285637920756,3.913134585447417
18142,Miljomvatn,015.GAAZ,015,855.0,0.0809,4.47,0,0.2210015688158631,,0.08798345289614229,10.449945643572288,6.568147189954188
6340,Korstjernet,015.C81Z,015,767.0,0.0401,0.39,0,0.12372254687838036,,0.04027127845966605,24.74459231552206,11.7018840030699
17554,,015.H5E,015,1005.0,0.0417,4.54,0,0.17863456448239362,,0.1326011604141651,2.3707224762417827,10.326994576214028
5923,Trytetjønn,015.G3,015,695.0,0.0651,0.56,0,0.4647451688029209,,0.13610257668144005,3.5139093826947754,15.648803158583144
18162,Øvre Nutetjønnan,015.JBD,015,1286.0,0.2306,1.48,0,1.2921337856464374,,0.12201978507546041,15.489161996262514,9.614447279195618
18704,,015.R2Z,015,1340.0,0.0791,0.38,0,0.3221002219781928,,0.11693935765340302,5.7829320532257835,8.923953009227498
17989,,015.PC,015,1212.0,0.0449,7.17,0,0.018726905074912332,,0.07370616990497608,8.260028941598623,1.1630056853341584
6112,Nydammen,015.DZ,015,638.0,0.0259,0.14,0,0.06328388402333825,,0.08575190261588522,3.5184434137500435,7.610752967735389
17527,Grånsettjønne,015.H5F,015,1031.0,0.1085,2.56,0,0.3238377100772614,,0.11649055190960739,7.9953961680522,6.058294873220641
17929,Flåtåtjønne,015.JBC1,015,1100.0,0.1181,21.21,0,0.23790863339811577,,0.0991888100917856,12.007703648595237,4.222185872395833
17543,Tjørngrøtjørnane,015.JD1A1B,015,1195.0,0.0463,0.7,0,0.1698267173111272,,0.08274733638533971,6.755332995294173,10.292356603285846
17848,Øvre Halstjønnan,015.JBF,015,1190.0,0.1052,3.2,0,0.14116749146201504,,0.08822933310318493,13.510698489208117,2.9844464442526646
17354,Holmevatn,015.J1BZ,015,1089.0,0.76,4.46,0,5.411878819920692,,0.1284673594652661,46.05011506521739,9.258219602977668
18445,Vegardhovdtjørnan,015.R21,015,1255.0,0.1943,6.02,0,0.2773013878214539,,0.1508634263940798,8.53794248673775,2.2636180487204722
5855,Solbergvannet,015.B3Z,015,232.0,0.0742,3.83,0,0.31438160025557105,,0.07805377228382915,12.172566070290472,10.992590636120996
6269,Trytetjerna,015.C8AZ,015,,0.0173,4.45,0,0.013131203834846557,,0.051700188977533756,6.4611672185247215,3.038276637204781
17898,Nordvatnet,015.R5Z,015,1256.0,1.0458,33.15,0,3.4800012686103727,,0.16509075726905165,38.37144972464824,3.5920226130653266
417,Krossvatn,015.Q42,015,1165.0,1.6891,409.36,0,3.46551884245273,,0.24923409357998727,27.191891981812997,1.6815254496445875
402,Mjovatnet,015.F4D,015,590.0,0.1492,12.22,0,1.091836396339981,,0.13529027013606326,8.148821038209721,13.388070294095995
389,Skurdalsfjorden,015.MG,015,782.0,2.0754,108.66,1,15.257,0.228,0.29756008578253157,23.44004402862448,6.236977851846008
398,Hengsvannet,015.CAB,015,453.0,0.9464,21.74,1,11.288480734004775,,0.21923051137229566,19.69033555551517,12.221521658734243
395,Langesjøen,015.PC,015,1206.0,11.0731,129.98,1,53.2,0.53674649,0.4989282208279189,44.48272067003514,3.621656562618716
392,Storekrækkja,015.NG,015,1151.0,4.1786,50.7,1,36.5,0.87537686,0.41902345191274293,23.7986433658026,6.4817506626563395
60044,,225.BZ,225,,0.0628,0.39,0,0.17180108651407497,,0.08005614578343007,9.793794497544141,7.210866044207317
59885,,225.22,225,515.0,0.1067,2.11,0,0.4155034227002358,,0.13950532410253252,5.480609543172578,7.459704347777975
61612,Rávdojávri,225.B20,225,167.0,0.1053,1.18,0,0.30208243756002834,,0.1683993734411491,3.7131447582346095,5.090387314401996
53540,Ninnásjuhánajávri,212.B4C,212,387.0,0.1556,5.33,0,0.9010347694897378,,0.14777960422815672,7.123277243286663,10.087500405422936
54351,Čuolbmajávri,212.GDB,212,550.0,0.8221,7.1,0,9.89619321575111,,0.3641225830995918,6.200782226547388,10.495907666053448
2227,Sáiva,212.EB3B,212,421.0,1.7091,27.88,0,7.526387573769025,,0.7582805207026629,2.972423242300459,2.406275148202575
53786,Vuovde-Vuonjaljávri,212.AG2C,212,476.0,0.1923,2.23,0,0.8766617470852988,,0.16048867282685397,7.4677012013417885,7.298372223143236
53249,,212.B2,212,232.0,0.094,0.37,0,0.18155591300519858,,0.18710876654324732,2.685274895633204,3.3416585811491935
53054,,212.7BB,212,460.0,0.0441,0.6,0,0.1081848919650763,,0.20992114162231218,1.0,4.8336311327466275
50355,,212.G8F,212,508.0,0.0848,0.2,0,0.06215108739187145,,0.09627061258149294,9.150699523084041,1.6280345141403074
54461,,212.F1C,212,373.0,0.0774,1.69,0,0.08329544878249644,,0.09500104598330283,8.579799375999988,2.4767170193829116
52999,,212.2C,212,752.0,0.0337,0.14,0,0.08969827362857048,,0.09880332658696385,3.452803625091894,7.429571752054283
53405,Tørrelvvatna,212.4G0,212,664.0,0.0688,1.75,0,0.20734872805951482,,0.14301525209721105,3.3638216436898336,6.2609097633136095
54864,,212.GC3,212,381.0,0.0902,2.44,0,0.28479165057113137,,0.10900266651366292,7.594391130937453,6.857733917923042
54716,,212.G2Z,212,360.0,0.0526,0.73,0,0.08025435421327398,,0.13685104859851782,2.806405264898838,3.3594609940440288
53296,,212.6C0,212,359.0,0.0446,1.74,0,0.06505804988910462,,0.10485207201658792,4.055226177893182,3.682161731880252
53277,,212.4DC,212,718.0,0.0682,0.72,0,0.20093509902121431,,0.07068355618351035,13.652913731546082,8.011479459850994
55049,,212.G4B0,212,414.0,0.0511,0.5,0,0.0636439409865728,,0.1212520945426516,3.479042889907719,2.875466403713474
54046,,212.EB1Z,212,537.0,0.0644,0.64,0,0.06166150037325941,,0.15341292190466335,2.735665313359499,1.9068645528352055
50619,Rebmesluobbalat,212.JC2Z,212,440.0,0.1855,1.81,0,0.054638369229138825,,0.1369205355512797,9.896963581190548,0.4698319185697115
2229,Jorgajávri,212.GDAE,212,450.0,1.0108,23.06,0,8.994836016999015,,0.31750587860374724,10.026345361766294,7.746148327014824
56436,Sieinnosgobijávri,212.8Z,212,483.0,0.199,12.02,0,0.5783134647911033,,0.21009377441003624,4.507688208021991,4.118743999391158
50163,,212.G4CZ,212,448.0,0.0994,0.57,0,0.10140772627532575,,0.12539027519765544,6.321218059420684,1.995959119398111
2231,Mollejusgobejávri,212.GFBB,212,643.0,1.1373,16.97,0,7.021078769877208,,0.678126741419857,2.4730775941336534,3.8861860892031546
54273,Eirrájávri,212.F10,212,367.0,0.0513,0.89,0,0.053619899530325775,,0.16824024120487835,1.811987529866131,2.1185914294554458
50544,Madiijavrit,212.HH,212,386.0,0.1091,0.46,0,0.09339314085800794,,0.15954357182434925,4.2846480882337525,1.4901228599422442
56427,,212.1A,212,396.0,0.0339,0.45,0,0.10523137384537304,,0.10113628788426686,3.315140950587705,8.61182114684466
49659,Guolehisjávri,212.L62,212,455.0,0.3693,1.58,0,0.562352610255458,,0.31414368961616623,3.7421142452972322,1.5879934416283026
54591,Vuovdeluoppal,212.FA11,212,331.0,0.1361,4.67,0,0.38696295355353955,,0.2826087223553862,1.7036574994583638,3.913924960965786
49720,Amasjávri,212.K1,212,337.0,0.0825,3.78,0,0.31871155524564226,,0.17245016951430167,2.775674317555357,7.227501817553394
53743,Čuorvunčohkavuoljávri,212.D,212,476.0,0.1199,0.66,0,0.49851404515220615,,0.13793319751896382,6.303085586884199,7.8092953072742475
533,Vannen,012.JF,012,831.0,1.8867,16.09,0,11.064889112039173,,0.21158987532886986,42.1427940112114,5.1310660968827015
614,Stogofjorden,012.JB4B,012,949.0,1.2262,17.51,0,15.26718273930062,,0.33027706744494756,11.241218778214199,10.32057144610852
16848,Store Ausa,012.CCBAZ,012,1006.0,0.1126,3.46,0,0.261822356660775,,0.12185639966144046,7.585551767100618,4.5719402437553605
30831,Fossegrovtjernet,012.CDBC,012,1475.0,0.1434,3.68,0,0.8654728679420597,,0.14301040469771525,7.010603348979515,10.851864379655494
7277,Øvre Kollsjø,012.DC3Z,012,481.0,0.2779,29.75,0,1.5537302715074814,,0.1666013665203281,10.013212272417665,8.17698458747385
