vatnLnr,name,regine,vassom,elev_m,area_km2,catch_area_km2,vol_est_avail,vol_Mm3,res_time_yr,width_km,aspect_ratio,slp_mean
3954,Vesle Otten,002.EC4A,002,,0.0493,5.76,0,0.1537021580978128,,0.15035448431362436,2.18187530252101,6.848260736731843
4041,Tennungen,002.E2AB,002,298.0,0.2799,8.6,0,2.4669758293994857,,0.22374310410726028,5.591496044669568,11.643826936190067
32409,Urdtjønnet,002.DF1E,002,918.0,0.0653,3.51,0,0.11788667100680479,,0.179621191836959,2.0236449669616237,3.4325776698225634
3981,Bundlitjennet,002.DAB3,002,,0.0814,0.5,0,0.2569211165500151,,0.1266342803469246,5.076083198558529,6.624139023182665
3107,Heia,002.D1,002,183.0,0.5181,17.81,0,3.076214945589211,,0.12891949078718867,31.1736018402796,8.352128970077615
34704,Kjelsungvatnet,002.DJAAZ,002,1250.0,0.1211,18.29,0,0.4115977868301341,,0.13047606710631587,7.115504259569478,6.4715470273621385
29185,Nedre Søvertjønne,002.DHEB,002,1296.0,0.6629,14.9,0,8.688671901088865,,0.36186095740284596,5.0626531777402395,12.04158399969825
4119,,002.F2B,002,174.0,0.0617,0.93,0,0.1899206602414568,,0.18621785931433518,1.7783516276810725,5.928106853606357
174,Djupsjøen,002.QAB,002,706.0,4.4101,114.97,0,54.33156372071629,,0.6385136896159169,10.81714950617635,5.985046484469789
35218,Fjellsjøen,002.R4C,002,851.0,0.8851,4.98,0,6.581544481467446,,0.28508170153166756,10.890624851177817,6.911943417370946
32215,,002.LG,002,1506.0,0.1044,1.02,0,0.9093284272774937,,0.2358066463984151,1.8774475306394456,14.028179695258192
33424,Stortjønna,002.JD31,002,689.0,0.0924,1.26,0,0.5112444687941402,,0.12376374934142764,6.0349463909866605,11.5596251149954
4141,Sesvolltjernet,002.DAA2Z,002,,0.0183,1.25,0,0.009135147035233533,,0.05329920863146456,6.4338112181790015,1.9295599521734776
32569,Steinslåtjønnet,002.DEC,002,1088.0,0.0472,1.21,0,0.0511300208303463,,0.09899201090544485,4.813279184152627,2.7383679432474124
4083,Svarttjennet,002.EB111,002,180.0,0.0594,0.39,0,0.45865101711994705,,0.17265696329396424,1.992562228380503,15.812315808496441
4448,Kinnlitjernet,002.DC72,002,233.0,0.0682,1.0,0,0.22217696350805533,,0.14391184907800042,3.294903317472175,6.779292206919216
194,Brumundsjøen,002.DC7D,002,633.0,1.675,11.36,0,4.601160108314613,,0.34846517260556986,13.794140328835262,2.0010709107684197
4449,Kolsrudvatnet,002.DD2E,002,565.0,0.0484,1.12,0,0.04487067673592705,,0.21998694745379926,1.0,1.7136828556679868
33329,Måsåbutjønna,002.JE5,002,748.0,0.0673,0.4,0,0.17536643925168485,,0.13879148751941242,3.4915557168084046,5.4803832116788325
30398,Sjugurdtindtjønne,002.DGG3,002,1443.0,0.0492,0.15,0,0.230297017687974,,0.09580909057405151,5.359690927480533,12.337856069711538
32648,Tromstjønnet,002.DEB1D,002,903.0,0.1958,3.63,0,0.8169214114830625,,0.2157067030377275,4.208624961178586,5.931723581874069
35326,Tufsingen,002.S3,002,781.0,1.3697,4.84,0,17.347216370250067,,0.4295965511358275,7.421824809525992,9.273946284612688
30499,Fisketjerni,002.DGG2Z,002,1377.0,0.1802,3.9,0,0.12288951782744989,,0.10716605993764738,15.688836749436476,1.2283774321933962
32121,Søndre Klettsjøen,002.MAB,002,947.0,0.1907,3.83,0,0.6981931716474842,,0.21020510199778858,4.316946820736412,5.269398392078489
4725,Buråstjenn,002.DABA,002,208.0,0.0911,4.3,0,0.19285132373872,,0.2057009517953454,2.153018578993197,3.566147126015343
3934,Geittjenna,002.EB32,002,354.0,0.0627,5.93,0,0.15269528929586806,,0.1384783861404869,3.2702805468478426,5.198945109049479
34811,Rygghøtjønne,002.DKB0,002,1524.0,0.2265,10.79,0,0.5884660445575953,,0.17841532713333408,7.11620167732848,3.796449328005812
32557,Veslejetningen,002.DF6C,002,918.0,0.2492,13.51,0,0.5973528625372507,,0.12850506900791647,15.092855066468658,3.876743888343235
33723,Ørtjennet,002.DC7D,002,,0.0493,0.7,0,0.01995185184616307,,0.09632975534372337,5.3089418823509025,0.9976257015440556
30450,,002.DFJ,002,1487.0,0.3029,3.13,0,2.4244482623533847,,0.20663787065374029,7.094006160083275,10.682587452959288
234,Langvatnet,002.DJDB,002,1411.0,1.3157,12.04,0,19.462662414365937,,0.3143135909643453,13.317409436742084,12.357062903699354
30584,Seksin,002.DFJ,002,1063.0,0.5659,6.92,0,4.9767682751791655,,0.31454166851505017,5.7202634883180625,8.733420085804923
32593,Sprentjørna,002.DFB6C,002,1131.0,0.0763,1.89,0,0.18084798079204903,,0.13025455902612,4.496385249458495,4.9548452229738
3446,Stomperudtjernet,002.ABB,002,107.0,0.0653,2.21,0,0.15880174797946503,,0.11373667513405955,5.051113918435769,5.544968088418431
34591,,002.DJE,002,1377.0,0.045,0.63,0,0.06960449336533414,,0.1363968950030113,2.4169344989006807,3.5312340369591344
4047,Damtjenn,002.FB,002,373.0,0.2787,2.82,0,1.532376901565827,,0.22333749198924424,5.5876790731721275,7.186027247675465
3661,Steinsjøen,002.GC2Z,002,293.0,0.1735,14.32,0,0.31131913764544455,,0.10977394442787758,14.394139457690725,3.3126967390063906
4574,Fjælutjernet,002.DC42,002,657.0,0.0409,1.35,0,0.10641355219356755,,0.06506841913953348,9.6513468473902,8.147970838114201
4658,Mørksjøen,002.DAC1A,002,509.0,0.1539,11.81,0,0.8544361049410475,,0.14141010686288835,7.695626067334167,9.848118035368216
3451,Tunevannet,002.A2C,002,40.0,2.3685,6.31,0,34.590238130047005,,0.4638795629384376,11.006894721040545,9.234539603293102
33494,Storbyringtjønna,002.JBB2B,002,715.0,0.0489,1.24,0,0.0666315590950743,,0.09018061979764558,6.009856162531475,3.562430800905653
3404,Langevannet,002.ACB,002,203.0,0.2376,6.3,0,1.179922194928685,,0.08335480524475747,34.200866042975676,9.752845767822851
3067,Tretjernet,002.CAA0,002,192.0,0.1158,0.71,0,0.6084510839327038,,0.10335939690946183,10.844112907051505,11.167032813726452
35401,Storflotjønna,002.PA2Z,002,741.0,0.0488,2.18,0,0.0166237372823987,,0.05885184678878841,14.085417094878517,1.010464850272841
4091,Igletjennet,002.EA,002,184.0,0.1486,1.83,0,0.758944271142088,,0.14855512277500477,6.734960900346109,8.94148454428494
32062,,002.DHM1,002,1370.0,0.0645,1.67,0,0.1929979924203075,,0.09172545343245753,7.662805059791665,7.463008817133131
33055,Store Ljøsvatnet,002.DC7BAB,002,818.0,0.3887,1.56,0,1.0700854452816682,,0.26787816877421355,5.417239991373284,3.063097287181229
32251,Gråtjørna,002.LB0,002,928.0,0.1176,0.42,0,0.2574882580320285,,0.1328514445969456,6.662337276829258,4.119281658616315
32262,Horntjønna,002.M30,002,826.0,0.125,1.52,0,0.4860244400860683,,0.1386043319162401,6.504479931337422,7.209215995592949
282,Holmsjøen,002.JAAAB,002,559.0,1.1419,5.5,0,5.107529698698279,,0.2170417875603472,24.23963119923695,4.300796239447429
33733,Langtjønna,002.JD31,002,573.0,0.1133,0.98,0,0.8478442600487422,,0.08788449148109578,14.665082938916068,17.153516254532637
32131,Store Brennvoltjønna,002.M62,002,862.0,0.0599,0.52,0,0.0930423506904412,,0.08445614558969339,8.399533561136673,3.9947649787454043
35273,Monstjønna,002.R62,002,749.0,0.0489,0.18,0,0.09888760727417369,,0.07021630789769412,9.915398927310605,5.875354637186941
3803,Knapptjernet,002.G7,002,255.0,0.1615,9.13,0,0.4130025035662034,,0.07296130702672476,30.344778937640978,5.655310894691781
35303,Vedtjønna,002.R53,002,873.0,0.2777,1.11,0,0.6940231073156984,,0.10620651560769012,24.618627081018747,4.247028854658019
32264,Indre Vulutjønna,002.LBZ,002,1072.0,0.1995,6.18,0,2.474334733541892,,0.20189890898926038,4.895275289861554,18.530569261695906
4055,Mjøgsjøen,002.F6Z,002,489.0,0.0482,0.55,0,0.18353655584572817,,0.05963151534167216,13.565720688314434,12.010027717141543
235,Nøklevatnet,002.EB1B,002,424.0,1.5037,16.45,0,8.520258843127834,,0.21385273614356093,32.87902087820121,5.187122260506101
237,Vålmangen,002.G6D2,002,351.0,1.298,58.72,0,5.74923606725755,,0.21064248711711864,29.252803573262813,4.186057548468167
169,Vålåsjøen,002.MF7,002,936.0,1.2585,125.4,0,13.488767437854909,,0.3428946437999847,10.703812142798009,8.67412619814288
240,Lyngen,002.HD1B,002,1007.0,1.3104,7.5,0,2.7053656223830047,,0.2973801514919714,14.817182475960479,1.6739700869929492
3943,Holtjennet,002.DAC1A,002,444.0,0.107,1.55,0,0.6483275389073945,,0.10455032502409328,9.789931868552326,13.096117601142186
3640,Damtjenna,002.GBC,002,290.0,1.2288,103.53,0,3.736030621073245,,0.14742210068241768,56.54119332151933,3.2982306118025093
32316,Setningen,002.LBZ,002,754.0,0.7111,147.4,0,10.26940979771766,,0.17058044456901733,24.438812898293342,17.429167358803987
32290,Skytningen,002.DHB2AA,002,824.0,0.0504,0.9,0,0.151360813738138,,0.15548919525048643,2.0865747821393086,6.475506756756757
30239,Kroketetjønne,002.DHE0,002,1338.0,0.1814,1.35,0,1.2045317701017206,,0.1624085905466781,6.87594548953117,10.825823629946642
224,Liavatnet,002.DHEC,002,734.0,2.614,213.12,0,52.63940680116976,,0.4688919398102489,11.889175812420183,12.51251581042372
29273,Styggvatnet,002.DHED,002,1406.0,0.1893,9.16,0,2.029480271172479,,0.30283053327042286,2.0639952478519326,13.837292375702871
35827,,002.JHAZ,002,1065.0,0.0238,0.12,0,0.006050834329070962,,0.050113977413092536,9.461063634712172,0.9323807426120924
32560,Nedre Sikkilsdalsvatnet,002.DFBCC,002,992.0,0.4572,23.54,0,1.7202805208812382,,0.19018032399868967,12.641763874912485,4.638130590247009
270,Store Åkrevatnet,002.DFBCB,002,895.0,2.0356,66.36,0,18.202220853971383,,0.43155365322976147,10.930053070469162,5.932798099078341
32476,Birisjøen,002.DGE4,002,934.0,0.4218,9.65,0,1.802381357989813,,0.18940581696972036,11.756322801728988,5.388296274038462
32455,Tjørnosen,002.DGE2,002,1226.0,0.1355,6.75,0,0.3889782500813875,,0.17626290600322192,4.360595867860443,4.7342152485994395
30357,Panna,002.DHBBZ,002,1459.0,0.0958,5.09,0,0.2803100508468521,,0.15303320140788565,4.092616554110308,5.501485383994465
30360,Urdadalstjønne,002.DHBAZ,002,1540.0,0.1032,2.68,0,0.846179400695615,,0.212018083369018,2.296044114427944,13.764201144366197
29439,Brangsdalstjørnin,002.DHBD,002,1381.0,0.0649,1.9,0,0.14612903957451587,,0.07091901547944085,12.90775789595639,6.13898189484127
286,Mellsjøen,002.DD5BE1,002,893.0,1.2375,30.88,0,6.296582520058697,,0.33612878836407356,10.952732521053337,4.0838402830509155
254,Skjelbreida,002.DCD1B,002,409.0,2.7139,25.45,0,19.184104808363056,,0.5206423743042214,10.011702783614362,4.072425361452641
257,Sjusjøen,002.DD5BB,002,810.0,1.2489,62.73,0,10.002322520921126,,0.47703611572698135,5.4882292840719735,5.6832344456828165
133,Isesjøen,002.A5B,002,38.0,6.3369,141.03,1,92.453153884992,,0.4561790246518509,30.451501484566453,7.465727103455775
267,Espedalsvatnet,002.DFB6C,002,722.0,4.4503,94.43,1,50.112,1.01,0.2933269073437108,51.72325518189322,12.001886268214374
114,Aursunden,002.S1,002,691.0,46.4018,848.44,1,610.0,0.94377568,0.7418202118972985,84.32131327013902,5.475874870236358
141,Hurdalssjøen,002.DAB1,002,176.0,33.2031,586.22,1,945.0,3.13859647,1.0264535410833648,31.513726530315086,7.29559331268747
117,Mylla,002.CH,002,498.0,1.7365,18.25,1,20.09887264366901,,0.21635001037779977,37.099056122208566,10.411763330839923
118,Mjøsa,002.DC11,002,123.0,369.317,16555.36,1,55360.52,5.479,1.893043485144858,103.05715737627968,9.575575290202353
125,Storsjøen,002.JD10,002,252.0,48.0958,2293.6,1,7074.0,6.88199225,1.2608480951200853,30.25391745978621,14.722069634057679
146,Bygdin,002.DFJ,002,1058.0,40.0339,305.54,1,2908.253380419586,,1.0067146718188695,39.501660062861895,19.08082754328359
3438,Nordre Torgrimsbutjern,314.A42,314,111.0,0.0817,1.54,0,0.18261979923534685,,0.11250022775900087,6.453039755740306,4.858388720460199
3454,Ekertjernet,314.A41,314,130.0,0.0656,0.73,0,0.2634884114242682,,0.07686994453629348,11.108450745914448,10.758727254746836
3208,Langtjenn,314.E,314,273.0,0.0497,0.73,0,0.12034392989206136,,0.07094285952990642,9.866227838503878,7.014783885380993
3344,Hølevann,314.B2Z,314,199.0,0.0961,0.63,0,0.36443788584106346,,0.09778162285867925,10.051418604137695,8.504730452109957
14900,,021.EAZ,021,1114.0,0.037,0.32,0,0.08632082336006114,,0.04043997823384354,22.631953153330997,8.926665998931623
11359,Skjeddvannet,021.A21,021,211.0,0.0614,1.09,0,0.46700801426359445,,0.07039874397316387,12.391441658322087,21.736547111742425
9665,Øytjørn,021.BAA8,021,513.0,0.0812,1.24,0,0.2317160391941645,,0.06159743552316188,21.413565521944122,7.860312391943292
9128,Longeraktjørn,021.D3B,021,619.0,0.0798,0.64,0,0.4581027801442228,,0.08673951867301566,10.609466708735802,14.194745142624575
14662,Ljomsvatnet,021.F3E,021,999.0,0.3335,2.18,0,3.2606555318239527,,0.15452425769563582,13.966349884015521,14.340349205388835
9052,Fånetjørn,021.D51,021,675.0,0.0497,1.69,0,0.2681291352575444,,0.08688595155078577,6.5884105638072334,14.782622327302631
13079,Den lange tjønni,021.LA,021,1075.0,0.1284,0.84,0,1.1048228191305414,,0.09127264910022781,15.41843798468375,18.982930852629515
15238,Urdevotni,021.EC,021,865.0,0.0925,0.7,0,0.4065337084841288,,0.09960828943074179,9.321601276831071,9.908340928819445
14468,,021.FC6,021,1284.0,0.0791,0.17,0,0.26376283525795957,,0.04720989045941981,35.505479658874165,10.262841796875
14576,,021.FC8,021,1237.0,0.0871,0.51,0,0.3753474653759885,,0.06766962266044585,19.028589981813123,11.399317924222798
14617,,021.FC8,021,1224.0,0.2102,4.63,0,1.3913167422088843,,0.08253438215581044,30.85127901640376,13.507902817919074
