aquamonitor_id,runoff_mm/yr
26547,2988
26548,1794
26550,2230
26551,2823
26552,2720
26553,1688
26554,2998
26555,1398
26556,2315
26557,3208
26558,2468
26559,2486
26560,2874
26561,1796
26562,1667
26563,3026
26564,2263
26565,2880
26566,2598
26568,2849
26569,3063
26570,2201
26571,2538
26572,2818
26573,2846
26575,2498
26576,3571
26577,3469
26578,2921
26579,1537
26580,2173
26581,1514
26582,1403
26583,1855
26584,1476
26585,1448
26586,2710
26587,3352
26588,1988
26589,2971
26590,3493
26591,3766
26592,1579
26593,1576
26594,1735
26595,1752
26596,1764
26597,1838
26598,2588
26599,2586
26600,2582
26601,3927
26602,2920
26603,4198
26604,3091
26606,2903
26607,2550
26608,2661
26609,2709
26610,3302
26611,2855
26612,1057
26613,1232
26614,1604
26615,1834
26616,1365
26617,1738
26618,1574
26619,1589
26620,1167
26621,2056
26622,1329
26623,1116
26624,2345
26625,2318
26626,2562
26627,2040
26628,1879
26629,2891
26630,2698
26631,2022
26632,3379
26633,2595
26634,3458
26635,3468
26636,3369
26637,2708
26638,2877
26639,1915
26640,3435
26641,3152
26642,2017
26643,1984
26644,1942
26645,2151
26646,2381
26647,4228
26648,3611
26649,3487
26650,4888
26651,2340
26652,4760
26653,3026
26654,2079
26655,2185
26656,2048
26657,2588
26658,3136
26659,2326
26660,3477
26661,2248
26662,1954
26663,1997
26664,1884
26665,2247
26666,1407
26667,1847
26668,1869
26670,2092
26671,1448
26672,2285
26673,1002
26674,1360
26675,1362
26676,907
26677,1056
26678,1299
26679,1226
26680,1547
26681,1751
26682,1659
26683,1871
26684,2904
26685,1486
26686,1652
26687,1557
26688,3613
26689,2177
26690,2269
26691,3027
26692,3821
26693,2492
26694,2572
26695,4052
26696,2217
26698,2811
26699,3494
26700,2320
26701,2371
26702,2917
26703,3291
26704,4073
26705,2668
26706,4150
26707,2102
26708,2469
26709,2346
26710,4315
26711,2506
26712,1614
26713,1778
26714,2035
26715,2883
26716,2887
26717,1907
26718,2178
26719,1722
26720,1594
26721,2223
26723,2025
26724,1697
26725,2135
26726,1735
26727,1160
26728,2538
26729,1529
26730,1694
26731,1385
26732,1896
26733,1235
26734,1134
26735,1357
26736,1735
26737,1653
26738,1695
26739,1380
26740,1993
26741,1446
26742,1501
26743,1869
26744,2046
26745,1228
26746,1360
26747,1208
26748,1257
26749,1246
26750,1475
26751,1244
26752,1237
26753,1508
26754,1620
26755,1244
26756,1175
26757,2283
26758,2289
26759,2413
26760,790
26761,910
26762,1989
26763,703
26764,1008
26765,1311
26766,1182
26767,1946
26768,982
26769,486
26770,526
26771,292
26772,677
26773,502
26774,447
26775,322
26776,631
26777,656
26778,959
26779,593
26780,835
26781,651
26782,777
26783,1030
26784,1304
26785,1141
26786,1362
26787,1609
26788,1111
26789,1292
26790,721
26791,1503
26792,1305
26793,1245
26794,1567
26795,1070
26796,1096
26797,1296
26798,1900
26799,1649
